Designator,Mid X,Mid Y,Rotation,Layer
D1,87.61,-144.855,90.0,top
D10,195.61,-144.155,90.0,top
D11,322.0,-144.35,90.0,top
D12,342.0,-143.2,90.0,top
D13,88.11,-165.655,90.0,top
D14,109.61,-165.655,90.0,top
D15,131.61,-162.155,90.0,top
D16,154.11,-160.655,90.0,top
D17,174.61,-162.155,90.0,top
D18,195.61,-165.655,90.0,top
D19,233.19,-165.11,90.0,top
D2,233.19,-144.76,90.0,top
D20,257.5,-162.85,90.0,top
D21,280.0,-160.2,90.0,top
D22,301.5,-163.2,90.0,top
D23,323.0,-165.2,90.0,top
D24,343.5,-165.0,90.0,top
D25,87.61,-187.655,90.0,top
D26,110.11,-187.655,90.0,top
D27,131.11,-184.155,90.0,top
D28,153.11,-182.155,90.0,top
D29,175.11,-183.655,90.0,top
D3,109.61,-144.155,90.0,top
D30,195.61,-187.155,90.0,top
D31,233.69,-186.61,90.0,top
D32,258.0,-184.0,90.0,top
D33,280.5,-181.85,90.0,top
D34,302.0,-183.85,90.0,top
D35,323.5,-185.85,90.0,top
D36,343.5,-185.85,90.0,top
D37,87.61,-208.655,90.0,top
D38,110.11,-208.155,90.0,top
D39,131.61,-205.655,90.0,top
D4,256.5,-141.35,90.0,top
D40,154.11,-203.155,90.0,top
D41,175.11,-204.655,90.0,top
D42,196.11,-208.155,90.0,top
D43,234.19,-208.61,90.0,top
D44,257.5,-205.7,90.0,top
D45,279.5,-203.35,90.0,top
D46,303.0,-205.35,90.0,top
D47,324.5,-207.85,90.0,top
D48,345.0,-207.35,90.0,top
D49,154.61,-229.155,90.0,top
D5,131.61,-141.155,90.0,top
D50,177.11,-230.155,90.0,top
D51,202.11,-241.155,90.0,top
D52,228.19,-242.205,90.0,top
D53,255.0,-231.7,90.0,top
D54,278.5,-226.7,90.0,top
D55,131.0,-231.85,90.0,top
D56,303.5,-227.85,90.0,top
D57,62.25,-152.635,180.0,bottom
D58,356.884048,-160.005,0.0,bottom
D59,62.25,-160.298333,180.0,bottom
D6,153.61,-139.155,90.0,top
D60,356.884048,-165.125,0.0,bottom
D61,62.25,-167.961667,180.0,bottom
D62,356.884048,-170.245,0.0,bottom
D63,62.25,-175.625,180.0,bottom
D64,356.884048,-175.365,0.0,bottom
D65,213.0,-101.65,90.0,top
D66,229.5,-101.65,90.0,top
D67,246.0,-101.35,90.0,top
D68,213.5,-121.35,90.0,top
D69,229.5,-121.35,90.0,top
D7,279.0,-139.35,90.0,top
D70,246.0,-121.35,90.0,top
D8,300.5,-142.35,90.0,top
D9,174.61,-141.155,90.0,top
J1,241.5,-80.69,180.0,bottom
QR${REFERENCE},232.0,-83.5,0.0,top
R1,94.345,-227.0,180.0,top
R2,323.655,-220.5,0.0,top
R3,94.18,-230.5,0.0,top
R4,323.845,-224.5,180.0,top
R5,64.825,-193.5,0.0,top
R6,358.5,-201.5,0.0,top
R7,185.75,-90.25,0.0,bottom
R8,185.75,-92.0,0.0,bottom
SW1,81.98,-140.105,180.0,top
SW10,190.06,-139.75,180.0,top
SW11,316.31,-139.595,180.0,top
SW12,336.68,-139.595,180.0,top
SW13,82.11,-161.36,180.0,top
SW14,103.97,-161.005,180.0,top
SW15,125.56,-157.86,180.0,top
SW16,147.5,-155.75,180.0,top
SW17,169.11,-157.76,180.0,top
SW18,190.06,-161.005,180.0,top
SW19,228.19,-161.41,180.0,top
SW2,228.06,-140.75,180.0,top
SW20,251.98,-157.99,180.0,top
SW21,274.19,-155.755,180.0,top
SW22,295.64,-158.5,180.0,top
SW23,317.0,-160.35,180.0,top
SW24,337.37,-160.35,180.0,top
SW25,82.11,-182.86,180.0,top
SW26,104.19,-182.505,180.0,top
SW27,125.56,-179.36,180.0,top
SW28,147.775,-177.51,180.0,top
SW29,169.11,-179.26,180.0,top
SW3,104.06,-139.75,180.0,top
SW30,190.06,-182.505,180.0,top
SW31,228.1,-182.76,180.0,top
SW32,251.33,-179.245,180.0,top
SW33,274.6,-177.01,180.0,top
SW34,296.05,-179.755,180.0,top
SW35,317.41,-181.605,180.0,top
SW36,337.78,-181.605,180.0,top
SW37,81.94,-204.005,180.0,top
SW38,104.02,-203.65,180.0,top
SW39,125.61,-200.505,180.0,top
SW4,251.29,-137.235,180.0,top
SW40,147.64,-198.25,180.0,top
SW41,169.11,-200.26,180.0,top
SW42,190.06,-203.505,180.0,top
SW43,228.19,-204.355,180.0,top
SW44,251.42,-200.84,180.0,top
SW45,273.63,-198.605,180.0,top
SW46,297.19,-201.105,180.0,top
SW47,318.55,-202.955,180.0,top
SW48,338.92,-202.955,180.0,top
SW49,148.09,-223.995,180.0,top
SW5,125.65,-136.605,180.0,top
SW50,171.66,-225.76,180.0,top
SW51,196.61,-236.505,180.0,top
SW52,222.74,-237.61,180.0,top
SW53,249.0,-226.85,180.0,top
SW54,272.5,-222.35,180.0,top
SW55,124.61,-227.3,180.0,top
SW56,296.0,-223.35,180.0,top
SW58,357.25,-147.5,0.0,bottom
SW59,207.3,-96.995,180.0,top
SW6,147.59,-134.495,180.0,top
SW60,223.66,-96.995,180.0,top
SW61,240.02,-96.995,180.0,top
SW62,207.66,-116.495,180.0,top
SW63,224.02,-116.495,180.0,top
SW64,240.38,-116.495,180.0,top
SW7,273.5,-135.0,180.0,top
SW8,294.95,-137.745,180.0,top
SW9,169.11,-136.505,180.0,top
U10,186.95,-87.95,270.0,top
